评论ID,昵称,用户ID,用户sec_id,头像,地区,时间,评论,点赞数,回复数,回复给用户,回复给用户ID,是否置顶,是否热评,包含话题,提及用户
7480158671126479676,是想引起我的注意吗,60594754198,MS4wLjABAAAAOsqQ7da7h6mZ0HJwd7sYoXFPZ85TAWXZlsvqfUofV4Y,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c000-ce_oUL7AAScGeAtmEInDwFfEEwdDaxAuuEf9ADgA7.jpeg?from=2956013662,广东,2025-03-10 20:36:01,你们是怎么忍住不吃的？中午买的恨不得一晚上炫完[微笑],2743,1072,,,否,否,,
7481170032313484069,李瑞泽(已老实版),61721752502,MS4wLjABAAAAVrsCLgVGnMdtoSLve6jTbqV-tjDYy-jvCM6YAPXMFXc,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_oAgszAIABAzjgqAoEABACoNFxCfNeI1hyAZ9NA.jpeg?from=2956013662,湖北,2025-03-13 14:00:41,我有个坏习惯不吃完不会再去买，只有吃的干干净净了才会再去买[捂脸],1,1,,,否,否,,
7480109441121256232,·,61306370428,MS4wLjABAAAAYrNuWH0HUR873JZO6er8QJcVqNe8JBa0tnaP47EJ5bk,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/mosaic-legacy_20b4d000515fe287a65c7.jpeg?from=2956013662,湖南,2025-03-10 17:25:05,爱买化妆品。不用。放到过期[泪奔][泪奔][泪奔],264,54,,,否,否,,
7481178287105114895,🌾        JFF、,60600708724,MS4wLjABAAAAzyK88r686Ncv3AdrJC_CW2Ra-x4EpRGvKYexzZ_DGzs,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_oYJ6eAfZCuIAxA9CAVgcEkFEoVARAn7lDbAwCn.jpeg?from=2956013662,四川,2025-03-13 14:32:41,每个月我老公帮我清理一堆，每个月都在说我，说我浪费[捂脸],0,0,,,否,否,,
7481193537113260860,粽粽👩‍🚀,106072335272,MS4wLjABAAAA62prbZiWNcKLVQjzhz192FOO3wvf8UsWOmnk1kqMUlU,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_850be733592ee535c29723867b84d946.jpeg?from=2956013662,江苏,2025-03-13 15:31:51,我会放到过期，救命啊，然后想吃的时候吧外包装还扔了有些，就总在吃过期的零食感觉,0,0,,,否,否,,
7480129278760944393,诶嘿嘿💎,3091441175501164,MS4wLjABAAAAQuARjFtB-BvM1gy5VMHmsmvML8hKPjY-maezMsKfAuU3DXnt9ek-s5mDbMNNKo0D,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_oMfDieUgNAu2GYAQAfWIA3I0pCwLISIwc3f5AB.jpeg?from=2956013662,陕西,2025-03-10 18:42:00,买了辣的回去又想吃甜的，买了甜的回去又想吃咸的，一进零食店又不想买了，回去后又后悔没买[尬笑]跟有病似的,163,21,,,否,否,,
