评论ID,昵称,地区,时间,评论,点赞数
7480167895684023097,a 嘉楠 a,内蒙古,2025-03-10 21:11:48,客厅飘窗下面的抽屉里还有几十盒面膜，二十多个洗面奶，口红二十多个，唇膏十来个，精华液，精油洗发水护发素各十几瓶，两个卫生间柜子里抽屉里都是护肤品[泪奔]卫生巾几十包[泪奔]，还有过期的精华放茶几上当护手霜[泪奔]没穿过的新鞋四十多双，衣服更数不清[尬笑],6
7480146101266957091,麻薯小丸子,广东,2025-03-10 19:47:17,寄给我吧，我爱吃,0
7480142284349440828,璟恩子,四川,2025-03-10 19:32:26,不爱吃零食,3
7480419867767866170,啊～biu,四川,2025-03-11 13:29:38,我也是！但是我觉得这就是在宴请小时候的自己[大笑],11
7480129278760944393,诶嘿嘿💎,陕西,2025-03-10 18:42:00,买了辣的回去又想吃甜的，买了甜的回去又想吃咸的，一进零食店又不想买了，回去后又后悔没买[尬笑]跟有病似的,114
